gene index	a_n	m	resub	bresub
[363]	[0.0080]	-0.1664	0.5333	0.5575
[364]	[0.0138]	-1.7672	0.2000	0.2595
[365]	[0.0145]	-0.2341	0.4000	0.3771
[366]	[-0.0039]	0.8046	0.4000	0.3918
[367]	[-0.0073]	1.3172	0.2667	0.2902
[368]	[-0.0281]	0.7101	0.4667	0.3718
[369]	[-0.0002]	0.6186	0.2667	0.3218
[370]	[0.0067]	0.0070	0.4667	0.4635
[371]	[-0.0039]	0.3263	0.4667	0.4495
[372]	[-0.0001]	0.3039	0.4667	0.4644
[373]	[0.0029]	-0.2714	0.2667	0.3116
[374]	[-0.0067]	0.4683	0.4000	0.4083
[375]	[-0.0026]	0.2900	0.3333	0.3759
[376]	[-0.0010]	0.9760	0.3333	0.3694
[377]	[-0.0184]	0.8245	0.4000	0.3781
[378]	[0.0016]	0.1073	0.4667	0.4667
[379]	[-0.0012]	0.7947	0.3333	0.3639
[380]	[0.0037]	-0.2666	0.3333	0.3866
[381]	[0.0015]	-0.0856	0.4667	0.4313
[382]	[-0.0048]	0.6148	0.4667	0.4630
[383]	[-0.0222]	0.7322	0.4000	0.4197
[384]	[0.0040]	-0.0057	0.6000	0.5135
[385]	[-0.0238]	2.3820	0.3333	0.3272
[386]	[-0.0092]	0.7919	0.4000	0.3606
[387]	[-0.0134]	0.6109	0.3333	0.3918
[388]	[0.0042]	-0.3436	0.4667	0.3656
[389]	[-0.0066]	0.3314	0.4667	0.4429
[390]	[0.0055]	-0.1826	0.4000	0.3658
[391]	[-0.0123]	0.8861	0.3333	0.3558
[392]	[-0.0005]	0.1489	0.4667	0.4667
[393]	[0.0208]	-0.8811	0.3333	0.3131
[394]	[-0.0330]	0.6841	0.4667	0.3767
[395]	[-0.0070]	0.3893	0.3333	0.3052
[396]	[-0.0313]	0.3888	0.4667	0.3960
[397]	[0.0036]	-0.2534	0.2667	0.3421
[398]	[-0.0019]	1.3466	0.2667	0.3530
[399]	[0.0251]	-0.1784	0.4667	0.4602
[400]	[0.0044]	-0.5530	0.4000	0.4392
[401]	[0.0057]	-0.1202	0.4000	0.4401
[402]	[-0.0295]	2.2145	0.3333	0.3108
[403]	[0.0150]	-0.8659	0.4667	0.4128
[404]	[0.0077]	-0.0743	0.4000	0.4064
[405]	[0.0370]	-0.7931	0.3333	0.3743
[406]	[-0.0076]	1.1569	0.2000	0.2183
[407]	[-0.0367]	2.3728	0.3333	0.3142
[408]	[-0.0134]	0.5890	0.4000	0.3886
[409]	[-0.0612]	2.2313	0.2000	0.2020
[410]	[0.0029]	0.0378	0.4667	0.4743
[411]	[-0.0158]	0.6797	0.4667	0.4179
[412]	[-0.0057]	0.8126	0.3333	0.3408
[413]	[-0.0004]	0.4267	0.3333	0.3790
[414]	[-0.0166]	0.4960	0.4000	0.4340
[415]	[-0.0064]	0.7678	0.4000	0.3628
[416]	[-0.0602]	0.8614	0.2667	0.3185
[417]	[0.0357]	-0.3935	0.3333	0.3792
[418]	[-0.0370]	1.6511	0.2667	0.3003
[419]	[-0.0143]	0.6795	0.4000	0.4127
[420]	[0.0646]	-0.7777	0.2000	0.2586
[421]	[-0.0172]	0.7004	0.4667	0.3962
[422]	[-0.0052]	0.2332	0.4000	0.4334
[423]	[0.0046]	-0.6663	0.4000	0.3834
[424]	[-0.0337]	0.5540	0.3333	0.3887
[425]	[0.0051]	-0.2304	0.4667	0.4806
[426]	[-0.0034]	0.2320	0.4000	0.4251
[427]	[-0.0028]	0.4768	0.4667	0.4029
[428]	[0.0021]	0.0797	0.4667	0.4662
[429]	[0.0594]	-0.5832	0.2667	0.2739
[430]	[0.0013]	-0.4038	0.4667	0.4609
[431]	[0.0151]	-1.3274	0.4000	0.3602
[432]	[-0.0034]	0.3895	0.4000	0.3945
[433]	[-0.0148]	0.4351	0.4000	0.4386
[434]	[0.0107]	-0.0122	0.4667	0.4777
[435]	[-0.0050]	0.2931	0.3333	0.3826
[436]	[-0.0069]	1.6481	0.3333	0.3160
[437]	[-0.0109]	1.0938	0.4000	0.3809
[438]	[-0.0090]	0.2425	0.4000	0.4192
[439]	[0.0064]	-0.3315	0.4667	0.4090
[440]	[-0.0000]	0.2994	0.4667	0.4605
[441]	[-0.0109]	0.8190	0.3333	0.3639
[442]	[0.0785]	-0.4823	0.2667	0.2985
