"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000024096",16,10,13,22,28,16,23,33,10,19,48,35,33,27,18,25,8,25,36,6,18,26,33,40,0,40,27,20,27,9,53,6,28,31,9,9,26,27
"ENSMUSG00000024099",6,10,4,0,10,2,3,4,0,4,4,0,5,9,4,7,5,4,0,0,6,5,0,6,2,8,4,11,6,3,0,6,3,0,4,7,10,7
"ENSMUSG00000024104",6,6,8,0,2,0,1,4,0,0,4,0,3,0,4,8,1,6,4,3,0,0,0,6,0,0,0,5,4,0,2,0,2,2,0,0,4,5
"ENSMUSG00000024105",15,18,6,64,16,0,6,23,0,9,11,0,15,14,10,13,5,14,17,17,8,13,23,8,0,10,18,0,12,0,25,0,24,5,0,7,8,2
"ENSMUSG00000024109",10,18,9,25,2,0,6,4,16,7,12,22,50,34,16,4,10,3,7,23,2,0,23,17,12,11,9,2,12,20,11,6,3,24,11,4,16,4
"ENSMUSG00000024122",19,18,9,15,40,5,14,27,3,14,12,18,18,7,21,24,18,15,15,12,6,19,9,13,7,8,9,6,25,14,23,6,20,10,20,9,4,20
"ENSMUSG00000024137",46,20,26,17,63,9,37,33,13,17,23,40,15,9,23,25,20,27,29,17,32,41,14,10,5,13,7,65,10,0,4,11,27,14,13,22,0,65
"ENSMUSG00000024140",4,2,2,7,8,2,0,4,0,3,5,2,5,2,5,1,2,5,7,6,0,1,0,8,0,11,2,4,9,0,0,0,5,0,0,7,2,2
"ENSMUSG00000024143",4,0,4,0,2,9,2,2,0,0,0,4,6,7,6,6,1,7,4,3,4,0,2,0,7,2,2,2,3,6,6,0,1,2,2,2,4,0
"ENSMUSG00000024146",6,10,11,0,21,0,9,8,0,16,0,11,6,0,0,6,12,13,2,0,8,11,2,4,0,8,4,5,4,0,6,6,12,2,11,0,6,13
