"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,148,241,0.042,"Slc30a4","Plin3","Pde4b",0.1292,0.4715,0.0719,0.0498,-0.0262,0.0498,-0.0262
33,152,241,0.0192,"Slc30a4","Hspa9","Pde4b",0.152,0.2552,0.0947,0.0498,-0.0034,0.0498,-0.0034
33,153,241,0.0165,"Slc30a4","Tnf","Pde4b",0.1547,0.3641,0.0974,0.0498,-0.000699999999999999,0.0498,-0.000699999999999999
33,155,241,0.0262,"Slc30a4","Nr3c1","Pde4b",0.145,0.4887,0.0877,0.0498,-0.0104,0.0498,-0.0104
33,158,241,0.0291,"Slc30a4","Ptpn2","Pde4b",0.1421,0.3458,0.0848,0.0498,-0.0133,0.0498,-0.0133
33,161,241,0.0434,"Slc30a4","Jak2","Pde4b",0.1278,0.2975,0.0705,0.0498,-0.0276,0.0498,-0.0276
33,164,241,0.0315,"Slc30a4","Smc3","Pde4b",0.1397,0.3281,0.0824,0.0498,-0.0157,0.0498,-0.0157
33,166,241,0.0432,"Slc30a4","Plce1","Pde4b",0.128,0.3579,0.0707,0.0498,-0.0274,0.0498,-0.0274
33,168,241,0.0155,"Slc30a4","P4hb","Pde4b",0.1557,0.4589,0.0984,0.0498,0.000300000000000002,0.0498,0.000300000000000002
33,169,241,0.0347,"Slc30a4","Tollip","Pde4b",0.1365,0.4421,0.0792,0.0498,-0.0189,0.0498,-0.0189
33,175,241,0.0125,"Slc30a4","Cdk2","Pde4b",0.1587,0.2614,0.1014,0.0498,0.0033,0.0498,0.0033
33,176,241,0.0106,"Slc30a4","Il23a","Pde4b",0.1606,0.4258,0.1033,0.0498,0.0052,0.0498,0.0052
33,180,241,0.0283,"Slc30a4","Itgb1","Pde4b",0.1429,0.3008,0.0856,0.0498,-0.0125,0.0498,-0.0125
